Zéta-Bunker;Kvantum lencse
Zéta-Bunker;Antianyag cella
Zéta-Bunker;Gravitációs fókuszáló
Zéta-Bunker;Plazmamag
Nóva-Szentély;Plazmamag
Nóva-Szentély;Térhajtómű töredék
Nóva-Szentély;Kvantum lencse
Nóva-Szentély;Energia pajzs generátor
Nóva-Szentély;Gondolat-vezérlő
Omikron-Raktár;Kibernetikus végtag
Omikron-Raktár;Antianyag cella
Omikron-Raktár;Foton vetítő
Omikron-Raktár;Időkristály
Aura-Labor;Foton vetítő
Aura-Labor;Gravitációs fókuszáló
Aura-Labor;Nanobot kolónia
Aura-Labor;Plazmamag
Zéta-Bunker;Lézer fókusz
Nóva-Szentély;Lézer fókusz
Omikron-Raktár;Nanobot kolónia
Aura-Labor;Gondolat-vezérlő
Zéta-Bunker;Kibernetikus végtag
Nóva-Szentély;Időkristály
Aura-Labor;Antianyag cella
Aura-Labor;Kvantum lencse
Zéta-Bunker;Sötétanyag tároló
Omikron-Raktár;Sötétanyag tároló
Nóva-Szentély;Holografikus archívum
Omikron-Raktár;Holografikus archívum
